District,State,Name,Party,HAgComm,Twitter_Handle,,
AK,Alaska,Don Young,R,no,@repdonyoung,,
AL-01,Alabama,Jo Bonner,R,no,@RepJoBonner,,
AL-02,Alabama,Martha Roby,R,yes,@RepMarthaRoby,,
AL-03,Alabama,Mike D. Rogers,R,yes,@RepMikeRogersAL,,
AL-04,Alabama,Robert Aderholt,R,no,@Robert_Aderholt,,
AL-05,Alabama,Mo Brooks,R,no,@RepMoBrooks,,
AL-06,Alabama,Spencer Bachus,R,no,@BachusAL06,,
AL-07,Alabama,Terri Sewell,D,no,@RepTerriSewell,,
AR-01,Arkansas,Rick Crawford,R,yes,@RepRickCrawford,,
AR-02,Arkansas,Tim Griffin,R,no,@RepTimGriffin,,
AR-03,Arkansas,Steve Womack,R,no,@rep_stevewomack,,
AR-04,Arkansas,Tom Cotton,R,no,@tomcottonAR,,
AZ-01,Arizona,Ann Kirkpatrick,D,no,@Ann_Kirkpatrick,,
AZ-02,Arizona,Ron Barber,D,no,@RepRonBarber,,
AZ-03,Arizona,Raﾜl Grijalva,R,no,@RepRaulGrijalva,,
AZ-04,Arizona,Paul Gosar,R,no,@RepGosar,,
AZ-05,Arizona,Matt Salmon,R,no,@salmoncongress,,
AZ-06,Arizona,David Schweikert,R,no,@RepDavid,,
AZ-08,Arizona,Trent Franks,R,no,@RepTrentFranks,,
AZ-09,Arizona,Kyrsten Sinema,D,no,@kyrstensinema,,
CA-01,California,Doug LaMalfa,R,yes,@DougLaMalfa,,
CA-02,California,Jared Huffman,D,no,@RepHuffman,,
CA-03,California,John Garamendi,D,yes,@RepGaramendi,,
CA-04,California,Tom McClintock,R,no,@RepMcClintock,,
CA-05,California,Mike Thompson,D,no,@RepThompson, , 
CA-06,California,Doris Matsui,D,no,@DorisMatsui,,
CA-07,California,Ami Bera,D,no,@RepBera,,
CA-08,California,Paul Cook,R,no,@RepPaulCook, , 
CA-09,California,Jerry McNerney,D,no,@RepMcNerney,,
CA-10,California,Jeff Denham,R,yes,@RepJeffDenham,,
CA-11,California,George Miller,D,no,@askgeorge,,
CA-12,California,Nancy Pelosi,D,no,@NancyPelosi,,
CA-13,California,Barbara Lee,D,no,@RepBarbaraLee,,
CA-14,California,Jackie Speier,D,no,@RepSpeier,,
CA-15,California,Eric Swalwell,D,no,@RepSwalwell,,
CA-16,California,Jim Costa,D,yes,@RepJimCosta,,
CA-17,California,Mike Honda,,no,@RepMikeHonda,,
CA-18,California,Anna Eshoo,D,no,@RepAnnaEshoo,,
CA-19,California,Zoe Lofgren,D,no,@RepZoeLofgren,,
CA-20,California,Sam Farr,D,no,@RepSamFarr,,
CA-21,California,David Valadao,R,no,@dgvaladao,,
CA-22,California,Devin Nunes,R,no,@DevinNunes,,
CA-23,California,Kevin McCarthy,R,no,@kevinomccarthy,also @GOPWhip ,
CA-24,California,Lois Capps,D,no,@RepLoisCapps,,
CA-25,California,Buck McKeon,R,no,@BuckMcKeon,,
CA-26,California,Julia Brownley,D,no,@JuliaBrownley,,
CA-27,California,Judy Chu,D,no,@RepJudyChu,,
CA-28,California,Adam Schiff,D,no,@RepAdamSchiff,,
CA-29,California,Tony Cardenas,D,no,@RepCardenas,,
CA-30,California,Brad Sherman,D,no,@BradSherman,,
CA-31,California,Gary Miller,R,no,@RepGaryMiller,,
CA-32,California,Grace Napolitano,D,no,@gracenapolitano,,
CA-33,California,Henry Waxman,D,no,@WaxmanClimate, ,
CA-34,California,Xavier Becerra,D,no,@RepBecerra,,
CA-35,California,Gloria Negrete McLeod,D,yes,@RepMcLeod,,
CA-36,California,Raul Ruiz,D,no,@congressmanruiz,,
CA-37,California,Karen Bass,D,no,@RepKarenBass,,
CA-39,California,Ed Royce,R,no,@RepEdRoyce,,
CA-40,California,Lucille Roybal-Allard,D,no,@RepRoybalAllard,,
