State,Name,Party,SAgComm,Twitter_Handle,
Alabama,Richard Shelby,R,no,@SenShelby,
Alabama,Jeff Sessions,R,no,@SenatorSessions,
Alaska,Lisa Murkowski,R,no,@lisamurkowski,
Alaska,Mark Begich,D,no,@SenatorBegich,
Arizona,John McCain,R,no,@SenJohnMcCain,
Arizona,Jeff Flake,R,no,@JeffFlake,
Arkansas,Mark Pryor,D,no,@SenMarkPryor,
Arkansas,John Boozman,R,yes,@JohnBoozman,
California,Dianne Feinstein,D,no,@SenFeinstein,
California,Barbara Boxer,D,no,@SenatorBoxer,
Colorado,Mark Udall,D,no,@MarkUdall,
Colorado,Michael Bennet,D,yes,@SenBennetCO,
Connecticut,Richard Blumenthal,D,no,@SenBlumenthal,
Connecticut,Chris Murphy,D,no,@ChrisMurphyCT,
Delaware,Tom Carper,D,no,@SenatorCarper,
Delaware,Chris Coons,D,no,@ChrisCoons,
Florida,Bill Nelson,D,no,@SenBillNelson,
Florida,Marco Rubio,R,no,@marcorubio,
Georgia,Saxby Chambliss,R,yes,@SaxbyChambliss,
Georgia,Johnny Isakson,R,no,@SenatorIsakson,
Hawaii,Brian Schatz,D,no,@brianschatz,
Hawaii,Mazie Hirono,D,no,@maziehirono,
Idaho,Mike Crapo,R,no,@MikeCrapo,
Idaho,Jim Risch,R,no,@SenatorRisch,
Illinois,Dick Durbin,D,no,@SenatorDurbin,
Illinois,Mark Kirk,R,no,@SenatorKirk,
Indiana,Dan Coats,R,no,@SenDanCoats,
Indiana,Joe Donnelly,D,no,@SenDonnelly,
Iowa,Chuck Grassley,R,yes,@ChuckGrassley,
Iowa,Tom Harkin,D,yes,@SenatorHarkin,
Kansas,Pat Roberts,R,yes,@SenPatRoberts,
Kansas,Jerry Moran,R,no,@JerryMoran,
Kentucky,Mitch McConnell,R,yes,@McConnellPress,
Kentucky,Rand Paul,R,no,@SenRandPaul,
Louisiana,Mary Landrieu,D,no,@SenLandrieu,
Louisiana,David Vitter,R,no,@DavidVitter,
Maine,Susan Collins,R,no,@SenatorCollins,
Maine,Angus King,I,no,@SenAngusKing,
Maryland,Barbara Mikulski,D,no,@SenatorBarb,
Maryland,Ben Cardin,D,no,@SenatorCardin,
Massachusetts,John Kerry,D,no,@JohnKerry," until February 1, 2013"
Massachusetts,Elizabeth Warren,D,no,@elizabethforma,
Michigan,Carl Levin,D,no,@SenCarlLevin, 
Michigan,Debbie Stabenow,D,yes,@SenStabenow,Chair
Minnesota,Amy Klobuchar,D,yes,@amyklobuchar, 
Minnesota,Al Franken,D,no,@alfranken, 
Mississippi,Thad Cochran,D,yes,@SenThadCochran,"""Ranking"""
Mississippi,Roger Wicker,D,no,@SenatorWicker, 
Missouri,Claire McCaskill,D,no,@clairecmc, 
Missouri,Roy Blunt,R,no,@RoyBlunt, 
Montana,Max Baucus,D,yes,@MaxBaucus, until 2/4/2014
Montana,Jon Tester,D,no,@jontester, 
Nebraska,Mike Johanns,R,yes,@Mike_Johanns, 
Nebraska,Deb Fischer,R,no,@SenatorFischer, 
Nevada,Harry Reid,D,no,@SenatorReid, 
Nevada,Dean Heller,R,no,@SenDeanHeller, 
New Hampshire,Jeanne Shaheen,D,no,@SenatorShaheen, 
New Hampshire,Kelly Ayotte,R,no,@KellyAyotte, 
New Jersey,Frank Lautenberg ,D,no,@FrankLautenberg, 
New Jersey,Corey Booker,D,no,@CoreyBooker,
New Jersey,Bob Menendez,D,no,@Menendez4NJ, 
New Mexico,Tom Udall,D,no,@SenatorTomUdall, 
New Mexico,Martin Heinrich,D,no,@MartinHeinrich, 
New York,Chuck Schumer,D,no,@ChuckSchumer, 
New York,Kirsten Gillibrand,D,yes,@SenGillibrand, 
North Carolina,Richard Burr,R,no,@SenatorBurr, 
North Carolina,Kay Hagan,D,no,@SenatorHagan, 
North Dakota,John Hoeven,R,yes,@SenJohnHoeven, 
North Dakota,Heidi Heitkamp,D,yes,@SenatorHeitkamp, 
Ohio,Sherrod Brown,D,yes,@SenSherrodBrown, 
Ohio,Rob Portman,R,no,@robportman, 
Oklahoma,Jim Inhofe,R,no,@jiminhofe, 
Oklahoma,Tom Coburn,R,no,@TomCoburn, 
Oregon,Ron Wyden,D,no,@RonWyden, 
Oregon,Jeff Merkley,D,no,@SenJeffMerkley, 
Pennsylvania,"Bob Casey, Jr.",D,yes,@Bob_Casey, 
Pennsylvania,Pat Toomey,R,no,@SenToomey, 
Rhode Island,Jack Reed,D,no,@SenJackReed, 
Rhode Island,Sheldon Whitehouse,D,no,@SenWhitehouse, 
South Carolina,Lindsey Graham,R,no,@LindseyGrahamSC, 
South Carolina,Tim Scott,R,no,@SenatorTimScott, 
South Dakota,Tim Johnson,D,no,@SenJohnsonSD, 
South Dakota,John Thune,R,yes,@SenJohnThune, 
Tennessee,Lamar Alexander,R,no,@SenAlexander, 
Tennessee,Bob Corker,R,no,@SenBobCorker, 
Texas,John Cornyn,R,no,@JohnCornyn, 
Texas,Ted Cruz,R,no,@tedcruz, 
Utah,Orrin Hatch,R,no,@OrrinHatch, 
Utah,Mike Lee,R,no,@SenMikeLee, 
Vermont,Patrick Leahy,D,yes,@SenatorLeahy, 
Vermont,Bernie Sanders,I,no,@SenSanders, 
Virginia,Mark Warner,D,no,@MarkWarner, 
Virginia,Tim Kaine,D,no,@timkaine, 
Washington,Patty Murray,D,no,@PattyMurray,
Washington,Maria Cantwell,D,no,@MariaCantwell,
Washington,Maria Cantwell,D,no,@CantwellPress,
West Virginia,Jay Rockefeller,D,no,@SenRockefeller, 
West Virginia,Joe Manchin,D,no,@Sen_JoeManchin, 
Wisconsin,Ron Johnson,R,no,@SenRonJohnson,
Wisconsin,Tammy Baldwin,D,no,@tammybaldwin, 
Wyoming,Mike Enzi,R,no,@SenatorEnzi, 
Wyoming,John Barrasso,R,no,@SenJohnBarrasso, 
